,ratingUser,ratingText
0,4,4
1,5,4
2,5,4
3,5,3
4,5,4
5,5,5
6,5,4
7,5,5
8,4,2
9,5,4
10,5,4
11,5,4
12,5,4
13,4,4
14,5,4
15,4,5
16,1,2
17,5,4
18,5,4
19,5,3
20,5,4
21,5,4
23,1,1
24,4,4
25,5,4
26,4,3
27,5,4
29,5,5
30,5,5
31,5,4
32,5,4
33,4,4
34,5,4
35,5,5
36,5,2
37,3,5
38,5,5
39,4,4
40,5,2
41,5,5
42,4,4
43,5,5
44,5,5
45,5,2
46,5,5
47,5,5
48,5,4
49,5,4
50,5,4
51,5,4
52,5,5
53,5,4
54,5,4
55,5,3
56,3,4
57,1,3
58,5,4
59,5,4
60,5,4
61,1,2
62,5,5
63,5,5
64,5,4
65,5,4
66,5,4
67,5,4
68,4,5
69,5,4
70,5,5
71,5,4
72,5,4
73,1,1
74,5,3
75,5,4
76,5,4
77,5,5
78,5,4
79,5,4
80,3,2
81,5,3
82,4,3
83,5,4
84,5,4
85,5,4
86,5,5
87,5,4
89,5,4
90,5,4
91,1,2
92,5,4
93,5,4
94,5,2
95,5,4
96,5,4
97,4,4
98,5,5
99,5,4
100,5,5
101,5,4
102,5,4
103,5,4
104,5,4
105,5,3
106,5,5
107,5,4
108,5,5
110,5,4
111,5,4
112,5,2
113,5,4
114,5,5
115,5,4
116,5,4
117,5,5
118,4,3
119,4,5
120,5,3
121,5,4
122,5,4
123,5,4
125,5,5
126,5,4
127,5,4
128,5,4
129,5,3
130,5,4
131,5,5
132,4,4
133,5,4
134,5,5
135,4,2
136,5,4
137,5,5
138,5,5
139,2,3
142,5,4
143,1,1
146,5,5
147,5,5
148,1,2
153,5,5
154,5,4
156,3,4
158,5,2
160,4,4
161,5,5
162,5,4
163,5,4
164,5,2
166,4,2
170,5,2
172,5,4
174,5,4
175,5,4
179,5,5
182,3,4
185,5,4
187,5,4
188,4,5
191,5,5
192,5,4
193,1,3
195,5,5
196,5,4
202,4,5
203,4,5
204,4,5
205,2,4
207,5,4
210,5,4
216,3,4
220,4,5
221,5,4
222,5,4
230,5,4
232,4,5
235,5,4
239,1,3
243,5,4
244,1,2
246,4,4
247,3,4
252,4,5
257,5,4
259,3,4
265,5,4
274,5,4
276,5,5
278,5,2
281,4,3
295,4,4
296,5,5
297,2,2
298,1,3
300,1,4
303,5,2
308,1,1
309,4,4
316,5,5
326,1,2
327,1,2
331,5,4
332,4,4
336,5,5
340,2,1
342,4,5
343,4,5
345,5,4
347,5,3
348,4,5
355,5,5
359,4,4
360,4,4
361,4,3
362,5,4
363,5,3
364,5,2
365,4,5
366,5,3
367,5,3
